Name,Course,Grade,2 LO Strength,1 LO Growth,Test Score 1,Test Score 2,Extra Comments,Essay Topic,Essay Excerpts,Course Type,Course Length,Reflection
Tiago Moreno,AP Statistics,A,Strategic Evaluative,Uncreative,90,98,"You were very thoughtful, beyond even my wildest dreams. Your academics were all too well-ly done. I hope you don't take this new knowledge and shake it off!",,,year,second,I ate this class up honestly.
Day Shoshi,Python III,C,Precise Innovative,Unreasoned,83,75,I recommend reaching out to Maego and your advisor for academic support. That may be the best solution to get you back onto a more confident academic path!,,,semester,,...I don't feel that great. I tried though. Sorry! Haha...
Kyle Nagahori,Economics,A,Articulate Adaptive,Random,95,100,,Why Capitalism is Bust,"Considering the ineptitude of meritocracy in regulation of communism, I believe capitalism finds itself doomed to fail in a system where those in power don't work to ensure a stable system.",semester,,"Oh yeah, everything made sense. That economy really just started running well in my brain."
Eric Min,AP Spanish,B+,Evaluative Proficient,Unintelligible,70,100,Your introspective nature truly stuck out in this class. ¡Bien hecho!,Me Llamo Eric,Mi nombre no perjudica mis esfuerzos por mejorar mis relaciones con las personas en mi vida; Sirve como vehículo para compartir identidad y experiencia.,year,first,¡Hasta la vista!
Maija Lematta,AP Statistics,B-,Investigative Structured,Unevaluative,80,87,,,,year,second,I regret everything.
Conrad Kelsay,Python III,A-,Reasoned Precise,Inflexible,91,91,,,,semester,,Maybe I can even code my way through this form. Maybe I DID code my way through this form. You'd never kno— print(f{}).
Frand Rares,Economics,A-,Strategic Innovative,Inaccurate,89,92,,I wish I was in the Soviet Union,"Considering the difficulties that life proposes and threatens us with each day, I find myself dreaming of a system that reduces obligation and pressure, even at the loss of my personhood.",semester,,I'm gonna make so much utility now! Who needs money on its own.
R.E. Jamieson,AP Spanish,A,Articulate Structured,Incompetent,93,95,,¡Gatos y Perros!,"Sin lugar a dudas, tanto los gatos como los perros son compañeros geniales y cada uno aporta su encanto único a nuestras vidas con sus travesuras juguetonas y su lealtad inquebrantable.",year,second,Muchas gracias por una experiencia muy positivia. Estoy aprendiendo mucho.
Evelyn Peters,AP Statistics,B,Adaptive Investigative,Disorganized,80,95,No. Get better at stats WHILE doing practice and then I might raise your grade.,,,year,first,Will you raise my grade if I win state?
,,,,,,,,,,,,
,,Possible LO Strength Words,Possible LO Growth Words,LO Descriptions,LO Strategies,,,Course Descriptions,,,,
,,Innovative,Uncreative,Make sense of problems and persevere in solving them,"interpreting the material in new spaces, allowing for new ideas",,,AP Statistics,"AP Statistics involves descriptive statistics (interpreting, organizing, and visualizing data), research design (designing survey, observational studies, and experiments), probability theory, simulation (modeling real-world situations with calculators and computers), and statistical inference. This course is equivalent to one semester of college-level Statistics and prepares students to take the AP Statistics exam.",,,
,,Reasoned,Unreasoned,Reason abstractly and quantitatively,explaining concepts to others in a teaching format,,,Python III,"This course builds on the skills and concepts learned in our previous computer science courses.  The topics challenge students to explore how computing and technology can impact the world, with a unique focus on creative problem solving and real-world applications.  A successful student will know more advanced data structures and object-oriented programming basics.  A successful student will be able to communicate with popular APIs including Twitter and Google in order to “grab” data and to organize the data and display it. ",,,
,,Articulate,Unintelligble,Construct viable arguments and critique the reasoning of others,explaining concepts to others in a teaching format,,,Economics,"This course introduces the basic language and core principles of economics in a non-traditional way. You will develop an economic way of thinking - like an economist - using chains of deductive reasoning in conjunction with simplified models. A Microeconomic and Macroeconomic analysis will help explain why individuals, businesses, and even governments behave as they do.",,,
,,Adaptive,Inflexible,Apply and adapt previous learning to solve new problems,working with Maego & myself (or future teachers) to define apporach strategies,,,AP Spanish,The AP Spanish Language and Culture course is equivalent to an intermediate-level college course in Spanish. This rigorous course is taught exclusively in Spanish and requires students to improve their proficiency across the three modes of communication.,,,
,,Strategic,Random,Use appropriate tools strategically,working with Maego & myself (or future teachers) to define apporach strategies,,,,,,,
,,Precise,Inaccurate,Attend to precision,explaining the reasoning behind each decision made in your work,,,,,,,
,,Structured,Disorganized,Look for and make use of structure,explaining the reasoning behind each decision made in your work,,,,,,,
,,Investigative,Univestigative,Make and investigate mathematical conjectures,"conversing with classmates to see interesting ideas that come up, and diving into them",,,,,,,
,,Evaluative,Unevaluative,Develop and evaluate mathematical proofs,"interpreting the material in new spaces, allowing for new ideas",,,,,,,
,,Proficient,Developing,"Demonstrating an understanding of culture by reflecting on practices, products, and perspectives",diving into the roots of our culture and comparing those roots with other cultures,,,,,,,
,,Competent,Incompetent,Construct a strong foundation in intercultural competence by demonstrating timely knowledge of other cultures and their products,"spending time with products of other cultures: music, shows, news, etc, to learn more through environment",,,,,,,
